feature,count,missing,missing_pct,mean,std,min,25%,50%,75%,max,skewness,kurtosis
f0n_mean,2252,0,0.00%,-3.6062734e-18,1.758568e-16,-9.725305e-16,-1.0326902112140914e-16,0.0,1.0059169225020366e-16,7.912862e-16,-0.0,-3.0
f0n_std,2252,0,0.00%,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,
f0n_max,2252,0,0.00%,2.2064905,1.6075801,0.71375257,1.4243059158325195,1.6652275919914246,2.032171070575714,12.304399,2.7331754251409195,7.878284311181774
f0n_min,2252,0,0.00%,-1.7728924,0.7334685,-7.034501,-2.1630393862724304,-1.698354721069336,-1.2893905341625214,-0.33230537,-1.3204176309542168,4.727945821155406
f0n_median,2252,0,0.00%,0.23392303,0.28812802,-0.96614796,0.1650955006480217,0.2941139340400696,0.40256188064813614,0.77454424,-1.9586860211567623,4.673530191949543
interval_mean,2252,0,0.00%,-0.005209079,0.018070158,-0.074929975,-0.015921058133244514,-0.002692263340577483,0.007429446559399366,0.06487148,-0.5009678398343168,0.597319998657412
interval_std,2252,0,0.00%,0.42472273,0.1415733,0.07119088,0.3267745226621628,0.4213069677352905,0.5133990347385406,1.0432819,0.35676255502297355,0.42623745553354864
interval_max,2252,0,0.00%,3.7048404,1.0478463,0.5,3.0,3.9000000953674316,4.599999904632568,5.0,-0.8165546795620618,-0.1447637354187883
interval_min,2252,0,0.00%,-3.516563,1.0793058,-5.0,-4.400000095367432,-3.700000047683716,-2.799999952316284,-0.5,0.5561251685486501,-0.5392763814400596
interval_median,2252,0,0.00%,-0.00026642985,0.0051559485,-0.1,0.0,0.0,0.0,0.0,-19.296015035229814,370.3360551691191
interval_iqr,2252,0,0.00%,0.107138105,0.07757394,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4,0.04749993091584305,-0.8648991170311611
interval_abs_mean,2252,0,0.00%,0.17089087,0.06253538,0.021416666,0.1300438903272152,0.16680283844470978,0.21021273359656334,0.4522727,0.44149295199285543,0.4482972696409573
interval_abs_std,2252,0,0.00%,0.3883281,0.1298968,0.06705428,0.2986990511417389,0.38346539437770844,0.46959615498781204,0.9404698,0.37025587013958416,0.4386516374357985
interval_pos_ratio,2252,0,0.00%,0.23403318,0.06365464,0.034166668,0.19423944503068924,0.2372395396232605,0.27588389068841934,0.47361648,-0.13090524124723346,0.24237771404184505
interval_neg_ratio,2252,0,0.00%,0.27057666,0.07094826,0.048945785,0.22865910083055496,0.2719481736421585,0.3143322467803955,0.54375,-0.07757983719262553,0.6774945407652462
contour_up_ratio,2252,0,0.00%,0.23403318,0.06365464,0.034166668,0.19423944503068924,0.2372395396232605,0.27588389068841934,0.47361648,-0.13090524124723346,0.24237771404184505
contour_down_ratio,2252,0,0.00%,0.27057666,0.07094826,0.048945785,0.22865910083055496,0.2719481736421585,0.3143322467803955,0.54375,-0.07757983719262553,0.6774945407652462
contour_flat_ratio,2252,0,0.00%,0.49539018,0.10919696,0.212828,0.4235349968075752,0.48558564484119415,0.5537250488996506,0.91,0.6889905515639115,0.9843838956856712
voiced_ratio,2252,0,0.00%,0.7747356,0.13362917,0.13655287,0.7164910584688187,0.8028895854949951,0.8665855973958969,0.99088144,-1.5693026355927564,3.480893111550289
voiced_prob_mean,2252,0,0.00%,0.43572932,0.16615595,0.0111589,0.3342289328575134,0.44632628560066223,0.5519697219133377,0.8344099,-0.3238531349958063,-0.19623010755265335
ioi_mean,2252,0,0.00%,0.39110824,0.25603816,0.16312505,0.28173545002937317,0.34266966581344604,0.42989812791347504,5.0918045,9.068454951534262,125.10569017371205
ioi_std,2252,0,0.00%,0.31550384,0.2668316,0.066693194,0.1808839999139309,0.2557121515274048,0.3662545010447502,4.64644,7.046751452632367,86.17409844359982
ioi_max,2252,0,0.00%,1.6503284,1.0625885,0.37151927,0.9984580278396606,1.4628571271896362,1.9736961126327515,15.023311,4.3431366264905575,38.681465032144025
ioi_min,2252,0,0.00%,0.041583512,0.06303812,0.0,0.0,0.0,0.06965986639261246,0.7662585,2.9487969571605444,19.473007341455727
tempo,2252,0,0.00%,137.2625,68.11849,30.04633,69.83741760253906,143.5546875,198.76803588867188,258.39844,0.012627450693795676,-1.2297922174206455
onsets_per_sec,2252,0,0.00%,2.8582602,0.9251318,0.22371762,2.21627676486969,2.824691891670227,3.4536852836608887,6.129058,0.2134187662489864,0.09349634382890626
